session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Nationality,Current Country of Residence,Country of Birth,Employment Status,Sex,First Language,Political Spectrum (US),Student Status
5dce134c6efc560c8074cfa9,5aea7f7526e9c60001fbc8c1,APPROVED,2019-11-15 02:54:07.238000,2019-11-15 02:58:18.069000,250.831,20,96,2,98,2019-11-18 04:10:32.504000,4D8547F3,United States,United States,United States,Part-Time,Male,English,Liberal,Yes
5dce1386aa0ef205907ec69c,5bbfeaeb785edb0001fac427,APPROVED,2019-11-15 02:55:04.569000,2019-11-15 03:02:21.535000,436.966,27,129,2,99,2019-11-18 04:10:33.431000,4D8547F3,United States,Mexico,United States,Full-Time,Male,Spanish,Liberal,No
5dce13a4a8fc7a0b891db1a6,5ce26d309ab6de001afac5a9,APPROVED,2019-11-15 02:55:35.867000,2019-11-15 03:00:29.457000,293.59,24,43,0,100,2019-11-18 04:10:34.318000,4D8547F3,United States,United States,United States,Unemployed (and job seeking),Male,English,Liberal,No
5dce13c5f7f12405d43bacad,5a9dd8b1873cda00010d18c5,APPROVED,2019-11-15 02:58:41.872000,2019-11-15 03:10:03.474000,681.602,25,26,0,100,2019-11-18 04:10:35.234000,4D8547F3,United States,United States,United States,Full-Time,Female,English,Liberal,Yes
5dce13dacf7d290c45d41795,5be9ce784f251d00015ce92e,APPROVED,2019-11-15 02:56:31.338000,2019-11-15 03:07:01.251000,629.913,28,104,1,100,2019-11-18 04:10:36.209000,4D8547F3,United States,United States,United States,Full-Time,Male,English,Liberal,No
5dce13e24b0d3b0582924ecd,5b9703dd43f8a8000104a45d,APPROVED,2019-11-15 02:56:37.555000,2019-11-15 03:01:58.677000,321.122,48,306,0,100,2019-11-18 04:10:37.102000,4D8547F3,United States,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",Male,English,Liberal,No
5dce13e69ba9730bf12d2daa,5c39849b19ceb400010c62a1,APPROVED,2019-11-15 02:56:42.093000,2019-11-15 03:00:08.776000,206.683,21,261,0,100,2019-11-18 04:10:37.984000,4D8547F3,United States,United States,United States,Due to start a new job within the next month,Female,English,Liberal,Yes
5dce13f409b2d30ca294cdd8,5c86bef8f8dc240015b0f0f2,APPROVED,2019-11-15 02:56:54.234000,2019-11-15 03:04:15.309000,441.075,22,119,1,100,2019-11-18 04:10:38.852000,4D8547F3,United States,United States,United States,Part-Time,Male,English,Liberal,No
5dce13fe0e569705de4e4b50,5bb917f53ea7ed00017ca5fb,APPROVED,2019-11-15 02:57:16.956000,2019-11-15 03:04:12.146000,415.19,30,164,0,100,2019-11-18 04:10:39.723000,4D8547F3,United States,United States,United States,Unemployed (and job seeking),Female,English,Liberal,Yes
5dce14179cb5840bec6b3843,5ac032d40527ba0001c1ec3c,APPROVED,2019-11-15 02:57:30.552000,2019-11-15 03:06:39.704000,549.152,20,135,0,100,2019-11-18 04:10:40.873000,4D8547F3,United States,United States,United States,Unemployed (and job seeking),Female,English,Liberal,Yes
5dce141b3dcc3a0b5ff80404,5d8ec3dcaf0700001b2cca48,APPROVED,2019-11-15 02:57:37.021000,2019-11-15 03:08:06.035000,629.014,26,37,0,100,2019-11-18 04:10:42.039000,4D8547F3,United States,United States,United States,Unemployed (and job seeking),Female,English,Liberal,Yes
5dce142c2d0da90bc21baa85,5d4252914733ca0018ff29d7,APPROVED,2019-11-15 02:57:48.700000,2019-11-15 03:07:49.555000,600.855,52,85,0,100,2019-11-18 04:10:43.064000,4D8547F3,United States,United States,United States,Unemployed (and job seeking),Female,English,Liberal,No
